x,y,stiffness
-100.0,-100.0,10000004.188369019
-99.0,-100.0,10000004.288726809
-98.0,-100.0,10000004.389299344
-97.0,-100.0,10000004.48999018
-96.0,-100.0,10000004.590700455
-95.0,-100.0,10000004.691329032
-94.0,-100.0,10000004.79177266
-93.0,-100.0,10000004.891926128
-92.0,-100.0,10000004.991682442
-91.0,-100.0,10000005.090932993
-90.0,-100.0,10000005.189567752
-89.0,-100.0,10000005.287475467
-88.0,-100.0,10000005.384543845
-87.0,-100.0,10000005.480659783
-86.0,-100.0,10000005.575709557
-85.0,-100.0,10000005.669579064
-84.0,-100.0,10000005.762154019
-83.0,-100.0,10000005.853320204
-82.0,-100.0,10000005.94296368
-81.0,-100.0,10000006.030971043
-80.0,-100.0,10000006.117229639
-79.0,-100.0,10000006.20162781
-78.0,-100.0,10000006.284055129
-77.0,-100.0,10000006.364402654
-76.0,-100.0,10000006.44256314
-75.0,-100.0,10000006.518431304
-74.0,-100.0,10000006.591904035
-73.0,-100.0,10000006.662880646
-72.0,-100.0,10000006.73126309
-71.0,-100.0,10000006.796956198
-70.0,-100.0,10000006.859867888
-69.0,-100.0,10000006.919909384
-68.0,-100.0,10000006.976995427
-67.0,-100.0,10000007.031044476
-66.0,-100.0,10000007.081978895
-65.0,-100.0,10000007.129725154
-64.0,-100.0,10000007.17421399
-63.0,-100.0,10000007.215380592
-62.0,-100.0,10000007.253164742
-61.0,-100.0,10000007.287510976
-60.0,-100.0,10000007.31836871
-59.0,-100.0,10000007.345692385
-58.0,-100.0,10000007.369441556
-57.0,-100.0,10000007.38958101
-56.0,-100.0,10000007.406080857
-55.0,-100.0,10000007.418916596
-54.0,-100.0,10000007.428069193
-53.0,-100.0,10000007.433525126
-52.0,-100.0,10000007.435276423
-51.0,-100.0,10000007.433320697
-50.0,-100.0,10000007.42766115
-49.0,-100.0,10000007.418306584
-48.0,-100.0,10000007.405271385
-47.0,-100.0,10000007.388575502
-46.0,-100.0,10000007.368244411
-45.0,-100.0,10000007.344309082
-44.0,-100.0,10000007.31680591
-43.0,-100.0,10000007.285776658
-42.0,-100.0,10000007.251268385
-41.0,-100.0,10000007.213333363
-40.0,-100.0,10000007.172028992
-39.0,-100.0,10000007.127417706
-38.0,-100.0,10000007.079566877
-37.0,-100.0,10000007.028548712
-36.0,-100.0,10000006.974440154
-35.0,-100.0,10000006.917322783
-34.0,-100.0,10000006.857282717
-33.0,-100.0,10000006.794410506
-32.0,-100.0,10000006.72880106
-31.0,-100.0,10000006.66055356
-30.0,-100.0,10000006.589771384
-29.0,-100.0,10000006.516562056
-28.0,-100.0,10000006.441037199
-27.0,-100.0,10000006.363312513
-26.0,-100.0,10000006.28350778
-25.0,-100.0,10000006.201746866
-24.0,-100.0,10000006.11815779
-23.0,-100.0,10000006.032872787
-22.0,-100.0,10000005.946028413
-21.0,-100.0,10000005.857765714
-20.0,-100.0,10000005.768230375
-19.0,-100.0,10000005.67757297
-18.0,-100.0,10000005.58594922
-17.0,-100.0,10000005.4935203
-16.0,-100.0,10000005.40045321
-15.0,-100.0,10000005.30692118
-14.0,-100.0,10000005.213104127
-13.0,-100.0,10000005.119189182
-12.0,-100.0,10000005.025371239
-11.0,-100.0,10000004.931853581
-10.0,-100.0,10000004.838848548
-9.0,-100.0,10000004.746578243
-8.0,-100.0,10000004.655275302
-7.0,-100.0,10000004.565183697
-6.0,-100.0,10000004.476559564
-5.0,-100.0,10000004.38967208
-4.0,-100.0,10000004.304804347
-3.0,-100.0,10000004.222254297
-2.0,-100.0,10000004.142335594
-1.0,-100.0,10000004.065378528
0.0,-100.0,10000003.991730886
1.0,-100.0,10000003.92175878
2.0,-100.0,10000003.855847422
3.0,-100.0,10000003.794401828
4.0,-100.0,10000003.737847416
5.0,-100.0,10000003.686630499
6.0,-100.0,10000003.641218638
7.0,-100.0,10000003.60210083
8.0,-100.0,10000003.569787513
9.0,-100.0,10000003.544810357
10.0,-100.0,10000003.527721819
11.0,-100.0,10000003.519094441
12.0,-100.0,10000003.51951986
13.0,-100.0,10000003.529607492
14.0,-100.0,10000003.549982904
15.0,-100.0,10000003.581285821
16.0,-100.0,10000003.62416775
17.0,-100.0,10000003.679289224
18.0,-100.0,10000003.747316638
19.0,-100.0,10000003.82891867
20.0,-100.0,10000003.924762275
21.0,-100.0,10000004.035508279
22.0,-100.0,10000004.161806526
23.0,-100.0,10000004.304290656
24.0,-100.0,10000004.463572469
25.0,-100.0,10000004.640235933
26.0,-100.0,10000004.834830856
27.0,-100.0,10000005.04786627
28.0,-100.0,10000005.279803535
29.0,-100.0,10000005.531049285
30.0,-100.0,10000005.801948184
31.0,-100.0,10000006.092775632
32.0,-100.0,10000006.403730467
33.0,-100.0,10000006.734927716
34.0,-100.0,10000007.086391522
35.0,-100.0,10000007.458048303
36.0,-100.0,10000007.849720245
37.0,-100.0,10000008.261119237
38.0,-100.0,10000008.691841291
39.0,-100.0,10000009.14136163
40.0,-100.0,10000009.609030452
41.0,-100.0,10000010.09406951
42.0,-100.0,10000010.595569605
43.0,-100.0,10000011.112489019
44.0,-100.0,10000011.64365304
45.0,-100.0,10000012.187754579
46.0,-100.0,10000012.74335598
47.0,-100.0,10000013.308892056
48.0,-100.0,10000013.882674374
49.0,-100.0,10000014.462896833
50.0,-100.0,10000015.047642522
51.0,-100.0,10000015.63489185
52.0,-100.0,10000016.222531945
53.0,-100.0,10000016.808367234
54.0,-100.0,10000017.390131203
55.0,-100.0,10000017.965499213
56.0,-100.0,10000018.532102324
57.0,-100.0,10000019.087541956
58.0,-100.0,10000019.629405372
59.0,-100.0,10000020.155281719
60.0,-100.0,10000020.662778582
61.0,-100.0,10000021.149538875
62.0,-100.0,10000021.613257842
63.0,-100.0,10000022.051700084
64.0,-100.0,10000022.462716373
65.0,-100.0,10000022.84426011
66.0,-100.0,10000023.194403226
67.0,-100.0,10000023.511351373
68.0,-100.0,10000023.793458229
69.0,-100.0,10000024.03923873
70.0,-100.0,10000024.247381138
71.0,-100.0,10000024.416757736
72.0,-100.0,10000024.546434088
73.0,-100.0,10000024.635676695
74.0,-100.0,10000024.683959022
75.0,-100.0,10000024.690965775
76.0,-100.0,10000024.656595388
77.0,-100.0,10000024.580960723
78.0,-100.0,10000024.464387914
79.0,-100.0,10000024.30741344
80.0,-100.0,10000024.110779395
81.0,-100.0,10000023.875427064
82.0,-100.0,10000023.602488836
83.0,-100.0,10000023.293278612
84.0,-100.0,10000022.949280728
85.0,-100.0,10000022.572137615
86.0,-100.0,10000022.163636275
87.0,-100.0,10000021.725693766
88.0,-100.0,10000021.26034182
89.0,-100.0,10000020.769710803
90.0,-100.0,10000020.256013183
91.0,-100.0,10000019.721526645
92.0,-100.0,10000019.168577101
93.0,-100.0,10000018.59952171
94.0,-100.0,10000018.016732091
95.0,-100.0,10000017.42257793
96.0,-100.0,10000016.819411077
97.0,-100.0,10000016.20955032
98.0,-100.0,10000015.595266944
99.0,-100.0,10000014.97877121
-100.0,-99.0,10000004.310439853
-99.0,-99.0,10000004.413741091
-98.0,-99.0,10000004.517264204
-97.0,-99.0,10000004.620909933
-96.0,-99.0,10000004.724576537
-95.0,-99.0,10000004.828159928
-94.0,-99.0,10000004.931553844
-93.0,-99.0,10000005.034650005
-92.0,-99.0,10000005.137338283
-91.0,-99.0,10000005.239506898
-90.0,-99.0,10000005.341042606
-89.0,-99.0,10000005.441830896
-88.0,-99.0,10000005.541756187
-87.0,-99.0,10000005.640702065
-86.0,-99.0,10000005.738551471
-85.0,-99.0,10000005.835186953
-84.0,-99.0,10000005.930490872
-83.0,-99.0,10000006.024345659
-82.0,-99.0,10000006.116634028
-81.0,-99.0,10000006.207239237
-80.0,-99.0,10000006.296045318
-79.0,-99.0,10000006.382937327
-78.0,-99.0,10000006.46780159
-77.0,-99.0,10000006.550525943
-76.0,-99.0,10000006.630999988
-75.0,-99.0,10000006.709115323
-74.0,-99.0,10000006.784765795
-73.0,-99.0,10000006.85784774
-72.0,-99.0,10000006.928260215
-71.0,-99.0,10000006.995905222
-70.0,-99.0,10000007.060687955
-69.0,-99.0,10000007.122517
-68.0,-99.0,10000007.181304567
-67.0,-99.0,10000007.236966683
-66.0,-99.0,10000007.289423404
-65.0,-99.0,10000007.338599002
-64.0,-99.0,10000007.38442215
-63.0,-99.0,10000007.426826086
-62.0,-99.0,10000007.46574879
-61.0,-99.0,10000007.501133127
-60.0,-99.0,10000007.53292699
-59.0,-99.0,10000007.561083427
-58.0,-99.0,10000007.585560773
-57.0,-99.0,10000007.60632273
-56.0,-99.0,10000007.623338487
-55.0,-99.0,10000007.636582779
-54.0,-99.0,10000007.64603596
-53.0,-99.0,10000007.651684068
-52.0,-99.0,10000007.653518852
-51.0,-99.0,10000007.651537802
-50.0,-99.0,10000007.64574417
-49.0,-99.0,10000007.636146965
-48.0,-99.0,10000007.62276095
-47.0,-99.0,10000007.605606612
-46.0,-99.0,10000007.584710132
-45.0,-99.0,10000007.560103344
-44.0,-99.0,10000007.531823661
-43.0,-99.0,10000007.499914033
-42.0,-99.0,10000007.46442286
-41.0,-99.0,10000007.425403902
-40.0,-99.0,10000007.38291621
-39.0,-99.0,10000007.33702401
-38.0,-99.0,10000007.287796617
-37.0,-99.0,10000007.235308323
-36.0,-99.0,10000007.179638302
-35.0,-99.0,10000007.120870497
-34.0,-99.0,10000007.059093524
-33.0,-99.0,10000006.994400576
-32.0,-99.0,10000006.926889326
-31.0,-99.0,10000006.856661852
-30.0,-99.0,10000006.783824552
-29.0,-99.0,10000006.7084881
-28.0,-99.0,10000006.630767396
-27.0,-99.0,10000006.550781535
-26.0,-99.0,10000006.468653826
-25.0,-99.0,10000006.38451179
-24.0,-99.0,10000006.298487218
-23.0,-99.0,10000006.21071626
-22.0,-99.0,10000006.12133953
-21.0,-99.0,10000006.03050225
-20.0,-99.0,10000005.93835445
-19.0,-99.0,10000005.84505119
-18.0,-99.0,10000005.750752851
-17.0,-99.0,10000005.65562544
-16.0,-99.0,10000005.559840972
-15.0,-99.0,10000005.463577894
-14.0,-99.0,10000005.367021568
-13.0,-99.0,10000005.270364786
-12.0,-99.0,10000005.173808364
-11.0,-99.0,10000005.077561779
-10.0,-99.0,10000004.981843859
-9.0,-99.0,10000004.886883512
-8.0,-99.0,10000004.792920532
-7.0,-99.0,10000004.7002064
-6.0,-99.0,10000004.609005183
-5.0,-99.0,10000004.519594397
-4.0,-99.0,10000004.432265952
-3.0,-99.0,10000004.347327068
-2.0,-99.0,10000004.26510122
-1.0,-99.0,10000004.185929054
0.0,-99.0,10000004.11016929
1.0,-99.0,10000004.038199581
2.0,-99.0,10000003.970417315
3.0,-99.0,10000003.907240335
4.0,-99.0,10000003.849107567
5.0,-99.0,10000003.796479534
6.0,-99.0,10000003.749838712
7.0,-99.0,10000003.709689735
8.0,-99.0,10000003.6765594
9.0,-99.0,10000003.650996456
10.0,-99.0,10000003.633571144
11.0,-99.0,10000003.62487448
12.0,-99.0,10000003.625517227
13.0,-99.0,10000003.636128554
14.0,-99.0,10000003.65735435
15.0,-99.0,10000003.689855164
16.0,-99.0,10000003.734303772
17.0,-99.0,10000003.791382318
18.0,-99.0,10000003.861779062
19.0,-99.0,10000003.946184678
20.0,-99.0,10000004.045288129
21.0,-99.0,10000004.159772119
22.0,-99.0,10000004.290308084
23.0,-99.0,10000004.437550804
24.0,-99.0,10000004.602132576
25.0,-99.0,10000004.784657037
26.0,-99.0,10000004.985692639
27.0,-99.0,10000005.205765795
28.0,-99.0,10000005.445353778
29.0,-99.0,10000005.704877423
30.0,-99.0,10000005.984693656
31.0,-99.0,10000006.285087949
32.0,-99.0,10000006.60626678
33.0,-99.0,10000006.948350156
34.0,-99.0,10000007.311364286
35.0,-99.0,10000007.695234518
36.0,-99.0,10000008.09977862
37.0,-99.0,10000008.524700485
38.0,-99.0,10000008.969584385
39.0,-99.0,10000009.433889866
40.0,-99.0,10000009.91694738
41.0,-99.0,10000010.417954726
42.0,-99.0,10000010.935974455
43.0,-99.0,10000011.469932241
44.0,-99.0,10000012.01861636
45.0,-99.0,10000012.580678333
46.0,-99.0,10000013.154634768
47.0,-99.0,10000013.738870475
48.0,-99.0,10000014.331642896
49.0,-99.0,10000014.931087825
50.0,-99.0,10000015.53522649
51.0,-99.0,10000016.14197394
52.0,-99.0,10000016.749148719
53.0,-99.0,10000017.354483806
54.0,-99.0,10000017.955638723
55.0,-99.0,10000018.550212784
56.0,-99.0,10000019.135759339
57.0,-99.0,10000019.709800942
58.0,-99.0,10000020.269845292
59.0,-99.0,10000020.81340184
60.0,-99.0,10000021.337998867
61.0,-99.0,10000021.84120092
62.0,-99.0,10000022.320626386
63.0,-99.0,10000022.773965083
64.0,-99.0,10000023.19899563
65.0,-99.0,10000023.59360245
66.0,-99.0,10000023.955792218
67.0,-99.0,10000024.283709556
68.0,-99.0,10000024.57565181
69.0,-99.0,10000024.830082767
70.0,-99.0,10000025.045645101
71.0,-99.0,10000025.221171474
72.0,-99.0,10000025.355694091
73.0,-99.0,10000025.448452652
74.0,-99.0,10000025.498900589
75.0,-99.0,10000025.506709512
76.0,-99.0,10000025.471771805
77.0,-99.0,10000025.394201353
78.0,-99.0,10000025.274332404
79.0,-99.0,10000025.112716539
80.0,-99.0,10000024.910117824
81.0,-99.0,10000024.667506188
82.0,-99.0,10000024.386049107
83.0,-99.0,10000024.067101674
84.0,-99.0,10000023.712195223
85.0,-99.0,10000023.323024567
86.0,-99.0,10000022.901434049
87.0,-99.0,10000022.449402552
88.0,-99.0,10000021.969027633
89.0,-99.0,10000021.462508952
90.0,-99.0,10000020.93213119
91.0,-99.0,10000020.380246636
92.0,-99.0,10000019.809257602
93.0,-99.0,10000019.221598903
94.0,-99.0,10000018.619720515
95.0,-99.0,10000018.006070608
96.0,-99.0,10000017.383079141
97.0,-99.0,10000016.7531421
98.0,-99.0,10000016.118606584
99.0,-99.0,10000015.481756814
-100.0,-98.0,10000004.434745623
-99.0,-98.0,10000004.54104493
-98.0,-98.0,10000004.647573402
-97.0,-98.0,10000004.754228922
-96.0,-98.0,10000004.860906811
-95.0,-98.0,10000004.967499983
-94.0,-98.0,10000005.073899103
-93.0,-98.0,10000005.179992763
-92.0,-98.0,10000005.285667652
-91.0,-98.0,10000005.390808761
-90.0,-98.0,10000005.495299563
-89.0,-98.0,10000005.599022234
-88.0,-98.0,10000005.701857844
-87.0,-98.0,10000005.803686602
-86.0,-98.0,10000005.904388055
-85.0,-98.0,10000006.003841342
-84.0,-98.0,10000006.10192541
-83.0,-98.0,10000006.198519269
-82.0,-98.0,10000006.293502228
-81.0,-98.0,10000006.386754144
-80.0,-98.0,10000006.478155674
-79.0,-98.0,10000006.567588529
-78.0,-98.0,10000006.654935714
-77.0,-98.0,10000006.7400818
-76.0,-98.0,10000006.822913162
-75.0,-98.0,10000006.903318236
-74.0,-98.0,10000006.98118776
-73.0,-98.0,10000007.056415042
-72.0,-98.0,10000007.128896175
-71.0,-98.0,10000007.198530296
-70.0,-98.0,10000007.26521981
-69.0,-98.0,10000007.328870622
-68.0,-98.0,10000007.389392357
-67.0,-98.0,10000007.446698572
-66.0,-98.0,10000007.500706965
-65.0,-98.0,10000007.55133957
-64.0,-98.0,10000007.59852295
-63.0,-98.0,10000007.642188363
-62.0,-98.0,10000007.682271946
-61.0,-98.0,10000007.718714865
-60.0,-98.0,10000007.751463449
-59.0,-98.0,10000007.780469345
-58.0,-98.0,10000007.805689625
-57.0,-98.0,10000007.827086896
-56.0,-98.0,10000007.8446294
-55.0,-98.0,10000007.85829109
